Bolha crescente
0.01	3.73	2000
0.01	3.77	4000
0.04	3.80 	8000
0.13	3.83	16000
0.53	3.89	32000
2.17	4.02	64000
8.60	4.27	128000
34.10	4.76	256000
137.36	5.71	512000
546.21	7.76	1024000

Bolha decrescente
0.00	3.73	2000
0.03	3.77	4000
0.10	3.80	8000
0.40	3.83	16000
1.60	3.89	32000
6.38	4.02	64000
25.51	4.27	128000
102.08	4.76	256000
407.63	5.71	512000
1629.06	7.66	1024000

Bolha aleatório
0.00	3.78	2000
0.02	3.81	4000
0.07	3.85	8000
0.39	3.88	16000
1.78	3.94	32000
7.24	4.06	64000
25.73	4.32	128000
77.99	4.78	256000
233.86	5.76	512000
753.07	7.71	1024000
